artist_credit,position,artist,name
id-733062,0,id-733062,Amber Dawn
id-514523,0,id-514523,豚骨ピストンズ
id-1565074,0,id-1295590,Sarah Téibo
id-154112,0,id-154112,Angel Heart
id-337714,0,id-337714,Dépérissement Progressif
id-465216,0,id-465216,Sole Signal
id-693655,0,id-693655,Heiress
id-257123,0,id-257123,Fascia
id-730637,0,id-730637,Swami LatePlate
id-2424924,0,id-1822618,Alan Power
id-1745469,0,id-348021,Ахат
id-949842,0,id-870341,Planet Perfecto Knights
id-252656,0,id-252656,Hidell
id-589444,0,id-589444,Van Courtland
id-617618,0,id-617618,Damion Suomi
id-76251,0,id-76251,James T. Horn
id-1123558,0,id-523772,Ricardo Rae
id-1123558,1,id-840091,Alyson Joyce
id-161886,0,id-161886,Precision Cuts
id-984104,0,id-891951,4TrakZ
id-157282,0,id-157282,Naiad
id-709856,0,id-709856,Ettiem
id-739608,0,id-739608,The Definite Articles
id-799816,0,id-799816,The Sutras
id-1523227,1,id-1267546,Jackie Cohen
id-1523227,0,id-511743,Jamico
id-257941,0,id-257941,Slome Japie
id-268594,0,id-268594,Kingsley O
id-750449,0,id-750449,Audio + Mackie
id-453092,0,id-453092,Japan Air
id-182680,0,id-182680,Funk Deluxe
id-236929,0,id-236929,Elephone
id-216917,0,id-216917,Kessinger Brothers
id-2214164,0,id-1660567,Atta Otigba
id-745306,0,id-745306,Marty Goetz
id-588483,0,id-588483,Andy Sanellas Penzoil Orchestra
id-536749,0,id-536749,The Embassadors
id-57325,0,id-57325,Planet Bass
id-294017,0,id-294017,Electro-Z
id-324065,0,id-324065,Who Is Behind the Mask
id-40059,0,id-40059,A New Funky Generation
id-1195574,0,id-1027636,Stomach Earth
id-553078,0,id-553078,Kids Love Lies
id-382160,0,id-382160,The Butterfly
id-1753291,0,id-1433406,LKA
id-571113,0,id-571113,Moh Alileche
id-1203863,0,id-1033520,Jackie Scott  The Housewreckers
id-347130,0,id-347130,Beginish
id-2377863,0,id-1571510,Gualtiero
id-948309,0,id-869239,Drew Davidsen
id-360497,0,id-360497,Lars Wickinger
id-815246,1,id-530683,Compton Posse
id-815246,0,id-310819,Mix Master Spade
id-110258,0,id-110258,Loco
id-2486837,0,id-1861430,Rad Win$
id-755458,0,id-755458,Clive Tanaka y su Orquesta
id-3216950,0,id-2287174,Dj Würm
id-272525,0,id-272525,A Mighty Tugboat
id-834799,0,id-813042,The Cavaliers
id-593507,0,id-593507,Funestum
id-362765,0,id-362765,Llewellyn  Leora Lightwoman
id-1445476,0,id-1211473,Fungis
