artist_credit,name,artist_count,ref_count,created
id-318843,Jahsoma,1,24,2011-05-16 163211.963929+00
id-161655,Driven,1,36,2011-05-16 163211.963929+00
id-1186117,Ghag the band,1,4,2013-07-01 155902.537219+00
id-1139299,The Louis Lester Band,1,40,2013-03-14 081854.358167+00
id-839104,Duoz,1,16,2011-07-14 005959.815784+00
id-205778,Blak n Spanish,1,49,2011-05-16 163211.963929+00
id-944302,The Parish of Little Clifton,1,32,2012-02-13 132219.208922+00
id-491517,Bitchee Bitchee Ya Ya Ya,1,18,2011-05-16 163211.963929+00
id-736898,Ukkonen,1,68,2011-05-16 163211.963929+00
id-3220745,DigiDogz,1,4,2022-02-07 060048.503386+00
id-455094,Collectif Mu,1,32,2011-05-16 163211.963929+00
id-333237,Aivi,1,18,2011-05-16 163211.963929+00
id-577818,Grupo Vocal Universo,1,42,2011-05-16 163211.963929+00
rec-418254-dup-0,To Be a High Powered Execvtive,1,40,2011-05-16 163211.963929+00
id-417923,Ahlev De Bossa,1,12,2011-05-16 163211.963929+00
id-787165,Tantara,1,47,2011-05-16 163211.963929+00
id-654634,Goshi Goshi,1,6,2011-05-16 163211.963929+00
id-1397537,Seven Doors Hotel,1,22,2014-12-04 203124.509879+00
id-110678,Worldless People,1,38,2011-05-16 163211.963929+00
id-750437,Monday Eternal,1,4,2011-05-16 163211.963929+00
id-1144124,Evils Desire,1,31,2013-03-26 205236.783167+00
rec-142092-dup-0,Klubbera Revenge,1,54,2011-05-16 163211.963929+00
id-529222,Project Scytia,1,12,2011-05-16 163211.963929+00
id-361956,Air Conditioning,1,43,2011-05-16 163211.963929+00
id-1630115,House Guest Rated X,1,6,2016-03-21 030030.696478+00
id-1207161,Corruption,1,8,2013-08-18 214925.2008+00
id-1034470,Stephen Kirkwood,1,18,2012-08-14 043345.556247+00
id-3394194,Jacob Johnson,1,4,2022-09-07 124317.917436+00
id-426730,Defender,1,15,2011-05-16 163211.963929+00
id-294837,Gimpo,1,8,2011-05-16 163211.963929+00
id-294836,Draculas Daughter,1,8,2011-05-16 163211.963929+00
id-130495,In Credo,1,206,2011-05-16 163211.963929+00
id-716712,Xiphiidae,1,8,2011-05-16 163211.963929+00
id-216178,A Bitter Farewell,1,58,2011-05-16 163211.963929+00
id-787627,Sir Gant  The InVisible Force,1,13,2011-05-16 163211.963929+00
id-1064339,Wielkanoc,1,30,2012-10-14 084029.485265+00
