label,gid,name,label_type,area,ended
88516,63969b5e24ef46cea28b04c43532a279,Hurt Em Badd Music,Publisher,,f
239196,cf60234e5438416c9ca932838f3c92c2,Melody Tracks,Publisher,657,f
84921,a5420ec5869e4a149c26e4efb20929ca,Tres Catorce Netlabel,,194,f
181451,c585fd3503ea4c69a45932b473dda18d,WolfyOffice,,,f
81038,15a849833ca848aea4a6cc6def48aff8,Alpha Cutauri,,,f
23315,803829f02bac49e4ac761d25993875b3,Dollar Record Records,,222,f
89083,f2a6708a066a494f8f6c4d3b8f61de0a,LAlternative dramatique,,105,f
201002,da2442512334446391a428a51f7ab701,Mr Manatti Music,Publisher,7020,f
141587,b78195385ac34a3fa71014b6d731789c,Trance Gold Records,,,f
175323,5bc51418ce3b438589596fe095825e51,Smilin Eyes Music,Publisher,222,f
124335,35d2fcb248c54bbc8b188709608d57cd,YasQueenProductions,,,f
89030,c9324da104644f51ab75ae48548ab763,Symposium Records,,221,f
246287,32cd81bf31b24e0ba2076b2bc13ebbce,Raton Songs,,,f
100464,26e931b6d543437cb29e50fa8e6a4e57,SOLFINSTERRE,Imprint,107,f
180560,913ebf6eb4f54751b782d0e2adf42e33,TONIKAKU RECORDS,Original Production,107,f
18985,aaf5c96c353e42c48b5ecdc3a66da4a7,Forged in Fire,Reissue Production,222,f
243059,7f83e23fac054930acbe69034e613e08,Ghostown Thang Music,Publisher,,f
189534,935ccb689c2341028c4d394e13a497be,Ni Entertainment,Imprint,229,f
45659,13713b90cded489fa779878b895dbea6,ReBuild Music,Publisher,,f
238999,e728e35ea1fd48b19ff16e923edfd1c1,Headstomp,,23638,f
68303,a5fafbd2cbac4be0acfc712f420faaa4,Fallen Angle Music,,,f
58050,8a890f8f68a64ce5ae361f90e8fff9d6,Fastlane Productions,,,f
61576,7fb90bd1667244a0941c88dca67a82bf,Woo Me,,,f
47640,1f20e27afea740eba9b081df1e36b994,Metal Club Mökä,Publisher,72,f
148977,e8e47ea74553406d9fcb0d14d05277e6,Shattered Music,Production,222,f
122962,6f3e4d7603b045578e468dd7eb929047,DPG Japan Records,,,f
215086,53a6e3cbb83a494cadba3101cad610d9,GVrecords,,107,f
67794,cc2772f942e34309b9663412305cc21f,Sa Trincha Recordings,,,f
9634,5ce742db541c4ec795c4a146b04148d6,Flower Records,Original Production,107,f
182913,fa8ed2ef25e64de7b1e8871ea2145f97,음악부,Production,113,f
207023,3aee42e229e647118e16df3f4658c637,SPV Schallplatten,Holding,,f
68643,170127ae693c4e469079a7e9d61a6b97,Parallax Muzik,Publisher,222,f
196386,2fc8636709ee45629b74fc51b5f780e2,Kakelane Music,,,f
116669,324eb0dbff2c4973b3da300c6ef6404b,Total Recording Co Ltd,,,f
1482,5d543fd340fc475aae4c7d88c1fb2c2e,Potential Veal Product,Original Production,222,f
95567,d61134fffa0e4b958dfabf196c61edbc,Sleepwell Records,,,f
231608,5d18d956ce9547d58d5f3b41245aab1e,600 Forever Entertainment,Production,,f
85245,cee4b5ee088b45dea614ac1ede277e05,Corus Entertainment,,,f
99738,f18d77f083014b73ab11cb1ccb106bf7,Cage Underground,,,f
30102,eee4a106fa0e499d937484c6240aee21,Shifty,Production,222,f
227240,a6f1213f593645ff87ded843382360b4,Panterra,,225,f
39828,8e2e142dd07b45b784ee041780f0467c,45Below,Original Production,222,f
123686,568538e0d2d04b63ba728a57d3a77309,NEWTRAXX,,107,f
81363,3fa0e5fe5fbd4e2fa13d4a09c22c5193,Early Learning Centre,Distributor,89433,f
131387,2b9c24b342ac4f21a104df8c1dc4da62,Pussy Music Ltd,Publisher,,f
