artist,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
rec-1786-dup-2,Ella Fitzkewrald,Fitzkeralt Ella,1917,4,25,1996,6,15,t,,Female,id-222,
rec-2051564-dup-0,Jon Harmijh,Harn9jh Jon,,,,,,,f,,Male,id-222,
rec-825763-dup-0,Chti2,Cri2,,,,,,,f,,,,Danke  DJ
rec-713238-dup-0,Thev Would Be Hapy People,They Would Be gHappy People,,,,,,,f,,,,
rec-4356-dup-0,Georg4x Delerue,Deleve Georges,1925,3,12,1992,3,20,t,,Male,id-73,
rec-750189-dup-0,John Goldhar,Goldbame John,,,,,,,f,,Male,,
rec-659454-dup-1,S'lmon Etcheil,Etcel Simon,,,,,,,f,,,,
rec-532524-dup-1,Sooan0s,Solamost,,,,,,,f,,,,
rec-242242-dup-0,Quiel<,Qulrck,,,,,,,f,,,id-13,Aujtralian funk band
rec-566491-dup-0,Manickin,Maniyin,,,,,,,f,,,id-222,
rec-3271-dup-1,Guster,Gustteah,1991,,,,,,f,,,id-222,
rec-77089-dup-0,Haus Afafha,Haus Arqvna,1993,,,,,,f,,,id-81,
rec-1024956-dup-1,Manolo Gvardya,Manoli Guartia,,,,,,,f,,,,
rec-1742697-dup-0,nevergetu5edtope0ple,neverketu5edtopeople,2000,,,,,,f,,Male,id-176,ÑΣVΣR GΣ† UΣD †Ø PΣØPLΣ
rec-12078-dup-2,Tony Joe Wbit,Wite T0ny Joe,1943,7,23,2018,10,24,t,,Male,id-222,
rec-645508-dup-2,Lora And5eşan,Antreşqn Laura,1982,,,,,,f,,Female,id-175,
rec-73379-dup-0,Te Cl'lentele,Clieritele Th,1997,,,,,,f,,,rec-221-dup-0,London indie pop band
rec-5621-dup-1,Pablo  Modes,Moses Palo,1948,6,28,,,,f,,Male,id-106,
rec-612300-dup-1,Carm0ne,Caahnine,1992,,,,,,f,,,id-73,French Indie band
rec-660223-dup-0,Billy Lihc0ln,Linkoln B:lly,,,,,,,f,,,,product9on music
rec-34677-dup-0,Neutral M'llk Hitel,Neudral Millc Hotel,1989,,,1998,,,t,,,id-222,
