artist_credit,position,artist,name
id-1189105,1,id-383000,Jürgen Treyz
id-265209,0,id-265209,Doyle Bramhall
id-1123774,0,id-176629,Complys
id-1123774,1,id-975029,BDS
id-518333,0,id-518333,Épictète
id-380280,0,id-380280,Murat Yılmazyıldırım
id-413717,0,id-413717,Michael Moshan  David Mendelsohn
id-5308,0,id-5308,John Hicks
id-7999,0,id-7999,The Olivia Tremor Control
id-74151,0,id-74151,Monolithic
id-1490341,0,id-1242232,Petrus Castrus
id-342774,0,id-342774,Eine Oliver Twist Kooperation
id-644521,0,id-644521,Dave Specter  The Bluebirds
id-31136,0,id-31136,Two Lone Swordsmen
id-353887,0,id-353887,Claire Diterzi
id-623136,0,id-623136,Neljänsuora
id-14414,0,id-14414,Raimundos
id-261703,0,id-261703,Wigrid
id-2931223,1,id-959012,William Dufris
id-2931223,0,id-2122361,D J MacHale
id-103234,0,id-103234,Dead Meadow
id-66209,0,id-66209,Tede
id-35115,0,id-35115,Jay Farrar
id-130007,0,id-130007,The Starlights
id-67633,0,id-67633,Elvis Costello  The Attractions
id-138160,0,id-138160,Tammy St John
id-179780,0,id-179780,Philippe Sarde
id-74319,0,id-74319,Ammo
id-21002,0,id-21002,Jimmy Page  Robert Plant
id-683889,0,id-683889,Eero Saarinen
id-1310104,0,id-1044098,Richie Branson
id-1314909,0,id-1116181,Indiana
id-2236,0,id-2236,Delerium
id-98609,0,id-98609,Flans
id-1174721,1,id-1012853,Gavin Ralston
id-1174721,0,id-1012851,Harry Long
id-676239,0,id-676239,Tapes
id-306,0,id-306,Modern Talking
id-2098452,0,id-246274,Baby
id-2098452,1,id-50761,Clipse
id-41636,0,id-41636,モーニング娘
id-763752,0,id-59001,Bobby Bland
id-948799,0,id-869569,Ansiktet
id-127523,0,id-127523,Bass Communion
id-131684,0,id-131684,Gráda
id-856804,0,id-826015,American Noise
id-53215,0,id-53215,Warhammer
id-41711,0,id-41711,Big Youth
id-666844,0,id-666844,Terry DevineKing
id-278444,0,id-278444,ChaosOrder
id-984152,0,id-1615,Jars of Clay
id-984152,1,id-800436,Gungor
id-769157,0,id-769157,Astrid  Freddy Breck
id-401207,0,id-401207,Over the Atlantic
id-735675,0,id-735675,Hydroplane
id-48235,0,id-48235,Tanya Donelly
id-868655,1,id-3823,Zakir Hussain
id-868655,0,id-352920,George Brooks
id-336253,0,id-336253,Back of the Bus
id-126774,0,id-126774,Ee
id-1121176,0,id-384127,DJ Spair
id-1121176,1,id-289878,Doo Wop
id-181824,0,id-181824,Evaldo Braga
id-48584,0,id-48584,Kutless
id-1403526,0,id-1180563,Skogsfrid
id-49369,0,id-49369,ORIGA
id-16332,0,id-16332,John Mayall
id-434509,0,id-434509,manmachineindustry
id-137835,0,id-137835,Super XX Man
id-242255,0,id-242255,Praveen
id-3753,0,id-3753,Magic Sam
id-93850,0,id-93850,Yeni Türkü
id-78251,0,id-78251,Jorane
id-568724,0,id-568724,Mank
id-24206,0,id-24206,Luis Vargas
id-1118619,0,id-970687,Kent DuChaine
id-39006,0,id-39006,Beres Hammond
id-24575,0,id-24575,Jody Davis
id-299034,0,id-299034,Autumn
id-2421153,0,id-867832,D Todd Sorensen
id-223799,0,id-223799,Khoiba
id-62438,0,id-62438,Gemma Hayes
id-48979,0,id-48979,Backyard Babies
id-41741,0,id-41741,Ellis Paul
id-1110,0,id-1110,Robyn Hitchcock
id-23156,0,id-23156,Stanley Clarke
id-1315,0,id-1315,James Horner
id-51178,0,id-51178,Agathocles
id-424089,0,id-424089,mwvm
id-153687,0,id-153687,Spank the Monkey
id-666735,0,id-666735,Danny Davies
id-864112,0,id-829942,Vyaas Houston 
id-416887,0,id-416887,Niños Cantores de Lara
id-54,0,id-54,Nirvana
id-11285,0,id-11285,Wolfgang Amadeus Mozart
id-71148,0,id-71148,Chapterhouse
id-384102,0,id-384102,Ana Belén
id-84778,0,id-84778,Peter Finger
id-41728,0,id-41728,Peter Hammill
id-703010,0,id-703010,Active Child
id-501909,0,id-501909,revideolized
id-441914,0,id-441914,Shearer
id-1104471,1,id-216157,Cigala
id-1104471,0,id-138601,Bebo
id-966791,0,id-882129,Mad Masterz
id-966791,1,id-509742,Rolf Junior
id-445207,0,id-445207,Big City
id-57933,0,id-57933,이수영
id-83758,0,id-83758,After Crying
id-202528,0,id-202528,The Royal Scots Dragoon Guards
id-151338,0,id-151338,Steven R Smith
id-829731,0,id-809945,Joseph Manson
id-281399,0,id-281399,Pushkar
id-73841,0,id-73841,Heintje
id-128737,0,id-128737,Lemony Snicket
id-124393,0,id-124393,Jerry Clower
id-72941,0,id-72941,Enoch Light  Terry Snyder and The All Stars
id-1485649,0,id-1239412,Sudden Death
id-58141,0,id-58141,Lorca
id-587603,0,id-587603,Laurine Frost
id-32583,0,id-32583,James Morrison
id-937285,0,id-861584,The CRS Players
id-613554,0,id-613554,Mickey Junkies
id-5941,0,id-5941,Madball
id-600831,0,id-600831,Irany Leme
id-464772,0,id-464772,Tatact
id-1136974,1,id-544748,LomC
id-1136974,2,id-660023,Tocha Pro
id-1136974,0,id-545449,Dash Shamash
id-298176,0,id-298176,Bill Clinton
id-1067202,0,id-935073,A Hero Named Hope
id-880191,0,id-837651,Love4Money
id-32116,0,id-32116,Sun Ra
id-51130,0,id-51130,UStreet All Stars
id-386271,0,id-386271,Zacier
id-162647,0,id-162647,Harry Lubin
id-36415,0,id-36415,Victoria Williams
id-1013218,0,id-905952,Orquestra Mediterrânea
id-902346,1,id-848544,Cattive Abitudini
id-902346,0,id-536374,Rumatera
id-1156688,0,id-1000515,Fastpoholmen
id-1119,0,id-1119,Kenny Rogers
id-187683,0,id-187683,Grooveminister
id-97699,0,id-97699,崎元仁
id-83,0,id-83,Frédéric Chopin
id-40032,0,id-40032,The Streets
id-11551,0,id-11551,Mr Big
id-41381,0,id-41381,Lunik
id-348206,0,id-348206,Tourist
id-348650,0,id-348650,Los Kjarkas
id-189446,0,id-189446,XP8
id-360187,0,id-360187,OJM
id-279702,0,id-279702,Jeff Loomis
id-557547,0,id-557547,Lola Lago Detective
id-367119,0,id-367119,Cool Cavemen
id-52749,0,id-52749,Teoman
id-190329,0,id-190329,Die Allergie
id-451770,0,id-451770,Pendragon
id-178932,0,id-178932,Step Softly Ghost
id-2202,0,id-2202,Nick Cave
id-46743,0,id-46743,Spanky  Our Gang
id-4628,0,id-4628,Heatmiser
id-1488075,0,id-813,Bruce Springsteen
id-1488075,1,id-1240195,The E Street Band
id-154451,0,id-154451,Пилот
id-21238,0,id-21238,Erik Satie
id-171495,0,id-171495,Nebular Moon
id-1486252,0,id-1239769,In the Summer of the Mushroom Honey
id-32513,0,id-32513,Robert Schumann
id-112603,0,id-112603,Downy Mildew
id-1036947,0,id-70199,SRange
id-584020,0,id-584020,Born Without a Face
id-122247,0,id-122247,The Idea of North
id-1208784,0,id-1036792,Natrach
id-211701,0,id-725593,Montag
id-1158038,0,id-154643,Koan
id-1158038,1,id-633160,Tatyana Kalmykova
id-2997,0,id-2997,Ennio Morricone
id-872363,0,id-44318,TI
id-872363,1,id-262731,Rihanna
id-432499,0,id-432499,אריק איינשטיין
id-8718,0,id-8718,Maria Muldaur
