place,gid,name,place_type,address,area,coordinates,ended
40475,fa6aa293182a4fed9f1ff00081585d0d,Mixroom Studios,Studio,,9413,,f
46450,6a6a1201604f4be790f2e977ae3fa413,Caledonien Hall,Venue,Radisson Blu Caledonien Hotel Vestre Strandgate 7 4611 Kristiansand Norway,12389,,f
34819,66cdd340b70c4104b7fded226d68a0c0,Norwegian Jade Bliss,Venue,,10422,,f
28661,fe0efa0ee14348afa91d0a1d8fe59e1f,Santuario di San Bernardino,Religious building,,13310,45492796407,f
2749,42dc99e1f5ec4e86ad7ab3761943ec4d,Orpheum Theater,Venue,216 State Street Madison WI 537032215,5287,4307589388611,f
7714,4aab83f116da42e0a964085b2dd2fdfe,Laboratorio Soyuz,Studio,,194,,f
25611,2d310abe80fe4287b8ef32e37b364491,Aula Sargans,Venue,,97160,47044194397,f
16016,3f19c216aa6e4fd4affd63eff824616c,Guelph Lake Island,Other,7743 Conservation Rd Guelph ON N1H 6J1,68698,4359676480243612,f
38450,559492d0dff945d3a71fb5d3b0be2772,Centro de Convenções de Pernambuco,,Av Prof Andrade Bezerra,633,,f
5816,fc8c39bf39444c44a14a95819c88e90c,St Lawrence,Other,Cannons Park Edgware,1178,,f
28338,0ff9919373a740ccaafa32f0bbc6b990,Golden Room Copacabana Palace Hotel,Venue,,5161,,f
11563,6028b2777f4b4a4786a60a00b1f1ba27,Grünspan,Venue,Große Freiheit 58 22767 Hamburg Germany,331,535518269958052,f
32571,517214bed9da49b39933aadb260b7e7c,Sound Circle Studio,Studio,,,,f
50560,7731e6a8886f4382b78059772b67eb32,Alvic Studios,Studio,Wimbledon,67482,,f
54820,1c204399735b4a25bc9c268f608227f7,Hickory Sound Recording,Studio,,21907,,f
12321,dee91b4c6b174b6085e0faa16f53f5fd,Rathsgymnasium Wolfsburg,,,8908,,f
12289,46e0c2410876455db71814798e7138ea,Boogie Park Studio,Studio,Boogie Park Studios Eulenstraße 70 A 22763 Hamburg,331,535515779923772,f
53492,33b5ad5f3da44b02831853b5db1bb454,The Jungle,Studio,,160,,f
9206,944850c4e91d49dd9af8e676593fa9a3,CorbNation Studios,Studio,,,,f
21171,7ae609f089c54c05aa99b59390d2a20f,Fat as Funk,Studio,,221,,f
871,c8334f61fafe4519882153bb3327d05f,梅田CLUB QUATTRO,Venue,〒5300051 大阪府大阪市北区太融寺町817 プラザ梅田10F,118630,34701773135502286,f
39430,f59b83cdf4a24c98ba473dbb6582e771,Kostel Matky Boží před Týnem,Religious building,,1805,5008771144227,f
38358,ecca7b03afb34b99b64659d30d18064c,The Half Moon,Venue,93 Lower Richmond Rd Putney London SW15 1EU,55341,5146802022257,f
51217,40cdb6c8e228403584cb3988ed42591d,スタジオ サウンドバレイ,Studio,,,,f
52922,7db70e038e9749f48e05611e54cef88e,RSA,,,,,f
49272,cb00f3a77f86461b9d5bccb311c6220d,Salinas Studio,Studio,,99547,,f
23950,0a989a40f573422ca1d133ecf1c76376,Spider Formation,Studio,,5099,,f
35682,5aadef53505d40409233d2d4c21dcb7e,The Gannon House,,,,,f
51951,d1f3d9627fbc4e3991547cf4db5f94df,The Bridge,Venue,,80914,,f
31584,327e837734234651ab8d38f416069228,The Basement,Venue,Marsh Street Hanley StokeonTrent ST1 1JA,90855,53024055218058,f
22927,da23defd1b7b4bffa0e6ebaeb0c98692,Gods Butt,,,,,f
18435,b68fb6da414b45ae9d0bbc75f0495688,The Pit,Studio,,30644,,f
52384,a5648b938b3449768e6b031015788302,Andys Bar,Venue,122 N Locust St Denton TX 76201,22162,332154219713216,f
38749,01e715edf7264f0fb67fa35721a27f86,Budahegyvidéki Evangélikus Egyházközség,Religious building,,721,474989190213,f
54314,b76dfc46b47940f89263814d8db7727e,Подвал приёмной комиссии МГИМО,Studio,Москва НиколоЩаповский переулок,2429,,f
23755,4b75e456533747ddaae3fc91f9dac511,Klanglabor Weimar,Studio,,8966,,f
49253,4586359ab816408bb5437ef60cf47e20,Соль,Venue,Профсоюзная ул 22 Казань 420111,86219,5579133849115922,f
37300,78ff2ed527d44d68ab99e4d381331781,Old Renaissance Faire Grounds,Other,,82790,,f
24297,45c4e40810f842fa8602af129c61ccd8,The Vic for Jazz,Venue,2640 Main Street Santa Monica CA 90405,5283,,t
33538,0eacfde75b0e43b9bc198cc4c3e57da2,Sössd Nix Studio,Studio,,,,f
3043,e426abec7cbb4636bddb1186f22a8028,St Michaels Church,Religious building,South Grove Highgate London N6 6BJ United Kingdom,58384,515689580150416,f
11477,eebd9699f98a4c53abfe90e0a0858c62,Cole Rehearsal Studios,Studio,,39882,,f
8544,89ba30b5deb344f88f855f2dcfa45f3c,Theater Marl,Venue,Am Theater 1 45768 Marl,69497,516527177089658,f
36109,2938563209ee4f6192a5acaf7ea80ab5,Psyrus Studio,Studio,,,,f
34106,c31ffe0437694de5a9b22157b1b1e313,Skråen,Venue,Strandvejen 19 9000 Aalborg Danmark,8173,570532089911536,t
44485,0ae7c344d9444f04a0ca0d39ad2269ab,Victorian College of the Arts,Educational institution,,5121,3782481449702,f
42927,289fad1e3a404cf5984470fc51e5e619,Mount Sinai Morningside,,30 Morningside Drive NY 10025 US,10862,40805573961806,f
18477,5e846ee5f97d429ebfa47b849d4d2a1b,Acyclic Systems,Studio,,,,f
29157,068e297fd9ad4666a1dbe1f1ffec1114,Hamilton High School,Educational institution,327 Fairgrounds Rd Hamilton MT 59840,5876,46245114161944,f
28348,50a3811d3dda4a0fa180a44672517f40,Muzej suvremene umjetnosti,Venue,Avenija Dubrovnik 17 10000 Zagreb,1872,457788159818,f
13533,91b167176a4e4879b36b2f237a94cc3d,Palco Street Dance,Venue,,5161,,f
41256,b18f1023f1c04fbf86fa9ec4e31636dc,Église SaintAndré,Religious building,35 Avenue Jean Jaurès,68605,492591674041389,f
46130,a71c8db100f24669bfb66db9ddd83a43,Alpana Tonstudio,Studio,,,,f
41223,190dd2b4defd4b7bbe0572a14ee938fc,Tropen institute,Educational institution,Mauritskade 63 Amsterdam The Netherlands,7706,523626924922517,f
33667,aad0200489d549bfb88db858a8b44661,Red Brick,Studio,서초구 방배2동 45323 Seoul Korea,113,,f
45553,e82981f629bf4334b252da12309a68b4,dada,Venue,Московский проспект 1093 СанктПетербург,2450,598901130317271,f
21811,cc822779f94542a1a73fe1779b93fd01,RADION Amsterdam,,,,,f
4886,7b9713133ff74950888f9f6585ceac06,SHINJUKU LIQUIDROOM,Venue,〒1600021 東京都新宿区歌舞伎町1201,116767,35695843139701491,t
2077,f84f6ef501ad4917846d3f35a18e2711,SAP Arena,Indoor arena,An der Arena 1 68163 Mannheim Germany,7716,4946361185175,f
48176,940d583981e64dcfb5d1899997928645,Olimpo,Venue,Av Vicente de Carvalho1450 Vila da Penha 21210154 Rio de Janeiro RJ Brazil,5161,2284234243299167,t
53498,5b1ca96ec1b14707a9da354035f8d48c,Le Mobile,Studio,,73,,f
30306,0d597ce4dc734f9cacbefd34a213ee7a,St Elisabeth,Religious building,Obere Sandstraße 29 96049,23723,4989275610883094,f
52957,031ae3a6f3ef4d709a4fe42c3f095c72,Lunar Cabaret,Venue,,5099,,f
35177,c2d8703dbe51444b9f338e21006d779d,University of California Berkeley,Educational institution,,7805,3787122259,f
6254,3201667359ff4d6bba6c88108fc06bc0,T T G Recording Studios,Studio,,7703,,f
25622,275cd2510bc74a728a950438faabfaea,National Guard Armory,Other,Ocean Avenue Long Branch NJ USA,28034,,f
