id,release,position,format,track_count
307060,id-307060,1,7,12
83473,id-83473,1,1,5
1448605,id-1395667,1,1,10
489627,id-489627,1,1,21
68320,id-68320,1,1,31
914178,id-914178,1,,9
1698379,id-1614233,1,31,5
1343042,id-1303111,11,1,17
265329,id-265329,1,1,18
1423268,id-1373589,1,1,9
482386,id-482386,1,29,4
1065633,id-1062257,1,1,13
1365035,id-1322371,1,,6
193418,id-193418,1,1,11
1099502,id-1091427,1,12,40
56460,id-56460,1,,16
735004,id-735004,1,1,20
742190,id-742190,1,1,20
1308594,id-1273005,1,31,10
1768,id-1768,1,1,13
979007,id-979007,1,1,12
261141,id-261141,1,1,28
2622853,id-2420610,1,36,17
1011614,id-1011608,2,1,11
1104404,id-1095524,1,12,69
1697615,id-1613594,1,1,5
696148,id-696148,1,1,4
640018,id-640018,1,1,16
1257400,id-1228998,1,1,10
1250306,id-1222775,1,1,11
167003,id-167003,1,1,20
2621740,id-2419610,1,1,10
422094,id-422094,1,1,15
883349,id-883349,1,1,12
701470,id-701470,1,1,11
1289840,id-1256746,1,12,33
1330512,id-1292117,1,12,50
20458,id-20458,1,1,15
484783,id-484774,3,1,20
1347045,id-1306600,1,1,16
533591,id-533591,1,1,12
502565,id-502565,1,1,11
1257600,id-1229165,1,1,16
1317975,id-1281208,1,1,14
746398,id-746398,1,1,23
819001,id-819001,1,1,15
879370,id-879370,1,,35
598017,id-598017,1,1,10
703608,id-703608,1,12,15
395115,id-395115,1,7,9
580174,id-580179,2,1,16
753876,id-753876,1,7,6
1085690,id-1079837,1,1,12
723764,id-723764,1,12,15
749080,id-749080,1,12,76
365555,id-365555,1,31,2
862871,id-1018570,2,,14
945036,id-945036,1,,12
438490,id-438490,1,1,11
1694514,id-1611033,1,1,12
225113,id-225113,1,,4
472816,id-472816,1,1,15
732294,id-732294,1,8,25
2243516,id-2085922,1,1,10
538309,id-538309,1,1,13
685717,id-685717,1,1,16
463410,id-463410,1,1,12
1137068,id-1123857,1,1,15
807566,id-807562,2,1,10
1700037,id-1615659,3,1,17
34324,id-34324,1,1,12
998978,id-998978,1,1,13
864459,id-864459,1,,10
1212473,id-1189279,1,,10
307861,id-307861,1,1,10
1492495,id-1433593,1,1,13
1361074,id-1318843,1,12,14
902583,id-902583,1,1,12
1230767,id-1205205,1,1,20
395677,id-395677,1,31,2
258578,id-258578,1,1,11
3657919,id-3356450,1,42,16
436823,id-436823,1,1,16
819545,id-819545,1,1,15
754575,id-754575,1,12,120
312710,id-312710,1,1,13
1491435,id-1432918,1,33,3
246732,id-246731,2,1,14
103272,id-103272,1,,12
916677,id-916677,1,,20
738145,id-738145,1,1,9
114204,id-114204,1,1,16
