id,gid,name,label_type,area,ended
78385,c0cef4110b334b5d878875a62eb2c153,New Media,,,f
113395,2b1869a6cd374070bece1d7cc01b48d0,Tentcrest Ltd,Holding,id-221,t
90550,99d542f98039498e9b940a474f94fac2,Nasty Habits Productions,Publisher,id-221,f
70765,c72b017cf1f3466d869e3065fcfd22a2,Think For Yourself Records,,,f
198997,763affca8148430d9d4f74558807e512,Plain Disguise,,,f
30808,b454efa78b164c109f1dc16fa263beb2,OtterSong Records,Original Production,id-222,f
186413,a782e270f4a245cfac57a7a97dc1a08d,Sasquatch Cock,Original Production,id-153,f
239969,5da89561ade6499b9ba525f0131b1811,Ossian USA,,,f
243653,6a5c6090e04f440d843b16ce46479e94,CWPT,,,f
238694,dd83b5a095054273baaa462d0389e4a7,Inarhyme Records,,,f
114425,82d05f0ab8f74082927f1726fbb80c1f,SPHERE RECORDS,,id-2230,f
84994,6cb6d400f67049259d86c3f8b0270cf0,HMC  Helsinki Music Company Oy,,id-72,t
153984,84bb00b90f004e58a5d38d3d83ec9efc,NAHAL Recordings,Original Production,id-73,f
126794,51924f72ede2489983d7374eb82d80ee,Discos Arpón,,,f
112659,21fea023b9474d00b24e734f5c20dcd1,Gralin Music,,,f
54268,d719d3a18d43487b98c1af0239b4b9ee,Metalgate,Original Production,id-56,f
245310,69085228e55b45b9aff72366ebf8f8c3,Bethlehem Music,Publisher,,f
33837,60e88820f7c349e782e3a229e9bcfcf2,4him2u,Original Production,id-14,f
66291,0956d815da2548f29e995dfda085267e,Mighty Perverts,,,f
14824,aa47c2efc1344032b04a6cb238c74b2b,Doirlinn Records,Original Production,id-222,f
237858,feabcf515b094841baaeef943b3285e2,Reezmo Music,Publisher,,f
21248,3a6f3e5078574330b4fa655350ffd7ee,Chakra,Production,id-81,f
95156,827823e22da84b13a79697f19d8182e1,Ekraz Music,Publisher,,f
172241,64cce5bb55d449be89abb55d0141b6b3,Little Sandwich Music,,,f
241246,7f9fc18aca3f4508a37987892a07e040,Narcotic Bureau,,,f
104079,87364d3dd4ba4a86b69bede44af125db,Blue Box Publishing Promotion Karin Wirthmann,Publisher,id-326,f
75789,ca5e9668a43245678ec95d412c8010ee,テンスアベニュー・パブリッシャーズ,Publisher,id-107,f
178504,638dcb07856544a989b50f15a091e59a,Refs Music LLC,,,f
146642,437db96ef9a34b65a1650d594debf6e7,Circle WANTAN,,,f
115109,97bf20a2015f44f0b575c01e154522cc,Wontstop Records,Production,id-1468,f
5059,a6bd58e0e6c94d5b908ee628d51cfa88,Tyrannosaurus,,id-221,f
89921,90212485eb65483496d1fd36d28aa2da,Feast Music Group,Publisher,,f
172311,e4168bf0f5924ffe846de42e9a702d5e,May Sun Publishing,Publisher,,f
247333,7e21031f7c244664872fd9bce28ada0f,Dave Hamelin Publishing,Publisher,,f
111988,5bf495ecc6e4446a813df12c1cf431ae,Flying Lecords,,,f
163318,1071b6272b814ef7a87770f437da5bf7,Bavaria Media GmbH,Publisher,id-76043,f
111977,942cddb0abc842d1a37e160673238f66,Pagan Music Ltd,,id-221,f
95939,f7e33b2d462f4ff7ba03865ce7464d19,South American House,Production,,f
93544,65bfcf3e88dd446a8317acacddbccc56,Serotonin Shift Music Publishing,Publisher,id-5215,f
20232,9df2d8e281424faaa36077594cf9bda6,G  E Music,Original Production,id-222,f
252427,2c6179687b1a4a719d3510ae1caaf553,Koze Songs,Publisher,,f
202598,b9faa1376c7c44619fd597af1b5fa6de,BlueZ Records,Original Production,id-222,f
223916,5770ff922c2c4bcc9a86f693927c29ba,Devel 16 Coterie ENT,Production,id-222,f
212345,ac6997b01305418ab3204e958c2ca13c,Musica Divina,Production,id-9279,f
234254,336ce26b371e4e7ba75c7e336a6e5271,Endemol France,,id-73,f
57635,8450443970c844a9a4f0f101f76a137e,Picture Show Records,Original Production,id-13,f
224848,b41071a4696f41e9b249c972ea685011,Soul Circle Music,,,f
68792,88582c6fa0174362821433da10065e06,Sugar Rush,,id-13,f
17950,f432355507464ef6a3fde6863d54b2f8,Peace 95,Production,,f
122407,da76fea4eb484920bb180227a607f0cb,Beardog Publishing Company,,,f
56679,fcf8a3f7d8ad4cd8b148d85b5d5c7611,Ball Park Music,,id-13,f
86490,0a86f857f88942cd9176b6ade0a13a0e,3 on the B Records,,,f
106962,1419a96306374f369646b05176cc938a,Warfuck Records,Production,id-47,f
202677,a657581ba49d4a0cb29113ddd7481377,Bob Abbott Music Inc,Publisher,,f
164890,90fc882937b544b08cb4035f7a3f7555,KAIWARECORD,,id-107,f
115131,0f83baf34f4444db9e30d5c05d7b77b9,Basspistol,Publisher,id-202,f
5484,97409dba609e494dbbbc6294925b684a,Very Friendly,Production,id-221,f
137071,9351458c35fd4531b1b98d8063bac33e,Psycho V Records,,,f
104080,74430b9b84cd462889ff014428ab01d6,Fax Record Company,,id-7295,f
213634,09ad4482ac6949a5ac63d27d9c05af81,eltonjohncom,,,f
41341,013b5528a31541a68c1b6aabaeba0604,The Master Recording Company,Original Production,id-221,f
252393,81fe517714b341c3b1070b23847d376b,WinStar Home Entertainment,Imprint,id-222,t
198582,c5bdd5bfba094d8e9513921439c4ea8f,TopartMusic,Production,,f
40029,0d9dcbe5899c4b95b979f5316fce5f8e,Royal Flyness Records,,id-222,f
156655,4dcb7d0d4ce84fcbaf071593751e58b8,Production Pathétik,Imprint,id-8391,f
196386,2fc8636709ee45629b74fc51b5f780e2,Kakelane Music,,,f
161333,ce14cfe410e24ef592fb9dba14eb3229,Wizz Records,,,f
67257,08386ebeb8044c7e8e2ae5779e460c26,Grotesque Records,,id-254,f
224965,fc59856ced774ddb95d8ca119165d5a6,Нокс Мьюзик,,,f
81393,4a5eeb9b6ecd4c4b85c5c687ab2cb6f3,Lateral Mgmt London Stockholm AB,Publisher,,f
151256,79d271664a8c45e281590c8c04bd532b,Shena Maydelah Publishing,Publisher,,f
201810,5b85b3fd3197453a8e6fc9b026ce22af,HAVELU Records,Publisher,,f
88878,aa312306b4f046f09dab79081e10cb38,Spaghetti Records,Original Production,id-105,f
24700,2f9f6b128dce420cbfdb96072ebe6b0f,Cybertech,Original Production,id-81,f
726,fb021b90fe5f4a9899390b63e35341d6,Zomba Label Group,Original Production,id-221,t
237594,e7ec6dbf5444457d9ad894dfb71311f5,Tchaikovsky  Bad Wolf Entertainment LLC,Publisher,,f
148977,e8e47ea74553406d9fcb0d14d05277e6,Shattered Music,Production,id-222,f
158250,848359ab570a42a8b495693460dd702b,Crab Key Records,,,f
173413,91cd49a26f4a4dcba7d8a2c10612a6da,Pemaco Rd Records,,,f
165116,f5864c277052493aadc0e18ccd00b51f,CoolNote,,,f
36361,75c8e53d2a8c41b5adac0f46f7869351,David Media AB,Publisher,id-202,f
233471,c12e1a82f82f4311981d30caf870e92e,Actionpop Records,Original Production,id-1178,f
17652,e6a24026f32c44cf8588f555ee5f8efe,Cr2 Records,Production,id-221,f
210554,87f1d0ea448547baa25664530c3eef9e,Tapes She Said,Original Production,id-5243,f
157074,a922d3cfc6b546f08d5c90519b95e802,Laputamusic,,,f
171501,6181eb5a7ac54fae8a4ffa2615e3e048,Hag Records,,,f
248245,dd35e571e9a240a19e7e5c870d51388b,MAW Words Publishing,Publisher,id-222,f
21964,cf2ac9e8dda84a219099a7cb4b062e20,2Fer records,,id-194,f
239970,305043b064384dfc954b3f9fd50bcb9b,Ramon Valdovinos,Distributor,,f
125826,768dde8f02934d2fb8fb30225102c5b8,Sarah McQuaid,,,f
142072,93636f439290476c82d55ac22ecdeb27,Jungle Voodoo Recordings,,id-7703,f
185164,5c11d447dce04dc2bd516e460d3c48c4,SageQuinnJude Music,Publisher,id-222,f
241796,1678f6c4cbb3480796da92fd83d41fb2,Snooter Records,Original Production,id-222,f
91848,934e87f00dc74d3f88ecd940862f0c64,Sandevil Music,Publisher,,f
203783,3ff14b7b98aa4196b0eefa70a2f89714,Words  Music Inc,Publisher,id-222,f
1075,329c36bb9f6a4beda94ce38eec631203,Out of Orbit Recordings,Original Production,id-57,f
