artist,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
id-570236,Forsaken,Forsaken,,,,,,,f,Person,,,dubstep artist
id-939924,Grüne Jugend Niedersachsen,Grüne Jugend Niedersachsen,,,,,,,f,,,,
id-939927,Saving Finest,Saving Finest,,,,,,,f,,,,
id-1909192,JEDDI,JEDDI,,,,,,,f,,,,
id-316878,Christopher Kah,Kah Christopher,,,,,,,f,Person,,,
id-50211,The Vessels,Vessels The,,,,,,,f,,,,
id-592449,Suzi Lane,Lane Suzi,,,,,,,f,Person,Female,,
rec-276364-dup-0,Cristine Levine,Levine Christirie,,,,,,,f,Person,,,
id-1970328,DJ Sam K,K Sam DJ,,,,,,,f,Person,Male,,
id-732405,逗子三兄弟,Zushi San Kyōdai,,,,,,,f,Group,,,
id-426523,Merimaid,Merimaid,,,,,,,f,Person,,,
id-642721,Tillevision,Tillevision,,,,,,,f,,,,
id-139351,Dark Eve Rising,Dark Eve Rising,,,,,,,f,,,,
id-929531,Casa Musica,Casa Musica,,,,,,,f,Group,,,
rec-57710-dup-0,Linda Lamp,Lamb Lincla,,,,,,,f,Person,Female,,
rec-1510569-dup-1,Dave Ro5e,Rose Daue,,,,,,,f,,,,Happy Endjngs character
id-871724,Jeanne Tanzy,Tanzy Jeanne,,,,,,,f,,,,
id-527142,KateGoes,KateGoes,2005,,,,,,f,Group,,,
id-5926,The Concord Anthology Process,Concord Anthology Process The,,,,,,,f,,,,
rec-272558-dup-0,Youph0,Youpbo,1998,,,2000,,,t,Group,,,
id-577310,Nox,Nox,,,,,,,f,Person,,,experimental electronic artist Stefan Lewandowski
id-860465,No Rainbows,No Rainbows,,,,,,,f,,,,
id-268199,DoRanger,DoRanger,,,,,,,f,Group,,,
id-484282,Ein Stück heile Welt,Ein Stück heile Welt,,,,,,,f,Group,,,
id-1789931,Willix,Willix,,,,,,,f,Person,Male,,
rec-771261-dup-1,Phonodronix,Phon0tronix,,,,,,,f,,,,
id-466210,Concrete Block,Concrete Block,,,,,,,f,Group,,,
id-695618,Kontakte,Kontakte,,,,,,,f,Group,,,
id-761083,Eddie Hickey,Hickey Eddie,,,,,,,f,Person,,,
id-594207,DeeExpus,DeeExpus,2000,,,,,,f,Group,,,
id-480945,Spiritual Combat,Spiritual Combat,,,,,,,f,Person,,,
rec-1701169-dup-0,Galarco,Galard0,,,,,,,f,Person,Male,,
id-1617950,All Divided Selves,Selves All Divided,2016,12,1,,,,f,Group,,,
id-249177,Aisth,Aisth,,,,,,,f,Group,,,
id-531217,Jens-Peter Ostendorf,Ostendorf Jens-Peter,,,,,,,f,Person,,,
id-592125,Pawnshop Radio,Pawnshop Radio,2008,1,5,,,,f,Group,,,
id-442324,Paul Isley,Isley Paul,,,,,,,f,Person,,,
id-819316,Bohemian Soul Tribe,Bohemian Soul Tribe,,,,,,,f,,,,
id-819315,Bohemian Soul Tribe The Great Beat Down,Bohemian Soul Tribe,,,,,,,f,,,,
id-711069,Ihsan Rmiki  Ensemble Al-Jûd,Rmiki Ihsan  Al-Jûd Ensemble,,,,,,,f,,,,
id-230075,Carsten Bohns Bandstand,Bohn Carstens Bandstand,,,,,,,f,Group,,,
id-82178,Pornrockers,Pornrockers,,,,,,,f,Group,,,
id-539927,Delay Lama,Delay Lama,,,,,,,f,,,,
id-795218,Marsfield,Marsfield,,,,,,,f,Group,,,ambient/drone
id-699044,Surfin Wagner,Surfin Wagner,,,,,,,f,,,,
id-576992,Sail by the Stars,Sail by the Stars,,,,,,,f,,,,
id-2208146,HOSH,HOSH,,,,,,,f,Person,Male,,German DJ  producer Holger Behn
id-424440,Tanzmann  Stefanik,Tanzmann  Stefanik,,,,,,,f,Group,,,
id-1722415,The Tropicanas,The Tropicanas,2016,4,1,,,,f,Group,,id-7388,
id-749234,LAvantgarde,LAvantgarde,,,,,,,f,Group,,,
id-1013404,Fistral Backpackers,Fistral Backpackers,2006,1,,,,,f,Group,,,
rec-315282-dup-0,Dizn,Dyan,2002,,,,,,f,Group,,,
id-522297,Jessie Warner,Warner Jessie,,,,,,,f,Person,,,
id-1024574,Aliens Ate My Setlist,Aliens Ate My Setlist,,,,,,,f,,,,Hardcore Band From Germany
id-578590,a Crack in Time and the Break of Dawn,Crack in Time and the Break of Dawn a,2005,8,19,,,,f,Group,,,
id-665411,ZeBrick,ZeBrick,,,,,,,f,Group,,,
id-135277,The Triple Threat Three,Triple Threat Three The,,,,,,,f,,,,
id-2206985,Ten Times,Ten Times,,,,,,,f,Group,,,Swedish dance-pop duo
id-739798,LAngélus,LAngélus,,,,,,,f,Group,,,
id-180893,Little Mike,Little Mike,,,,,,,f,Person,,,Mike Chapman
id-2206986,whoisFIYAH,whoisFIYAH,,,,,,,f,Person,,,EDM artist
rec-532617-dup-0,RG,RG,,,,,,,f,,,,
id-905512,DMDN,DMDN,,,,,,,f,Person,Male,,alias of Jacques Cornelius Antonius van Bussel
id-599781,Mental Notations,Mental Notations,2007,3,,,,,f,Group,,,Based in Yucca Valley California
id-34660,Dead Hot Workshop,Dead Hot Workshop,,,,,,,f,,,,
rec-647099-dup-1,Paperpoain,Paperplaim,,,,,,,f,Person,Female,,
rec-647099-dup-0,Paperplain,Paperpiain,,,,,,,f,Person,Female,,
id-1057383,Ghost Bath,Ghost Bath,2012,,,,,,f,Group,,id-82711,
id-785883,Hypnosis Rainbow,Hypnosis Rainbow,,,,,,,f,,,,
id-599788,Holocaustus,Holocaustus,1998,,,,,,f,Group,,,German black metal
id-549236,Priscilla Angelique,Priscilla Angelique,,,,,,,f,Person,,,Music producer and vocalist
id-1041374,Lady Laudanum,Laudanum Lady,,,,,,,f,Person,Female,,dark electronic
id-347507,Valkan,Valkan,,,,,,,f,Person,,,
id-1041372,N3BUR,N3BUR,,,,,,,f,,,,from Spain
id-194859,Halcyon Daze,Halcyon Daze,,,,,,,f,Person,,,
id-1225631,DJ Hamida,DJ Hamida,,,,,,,f,Person,Male,,
id-352501,Metal Mareny,Metal Mareny,1995,5,7,,,,f,Group,,,
id-433992,Dennis Haberlach,Haberlach Dennis,1981,9,8,,,,f,Person,,,
id-1721681,Hegira Moya,Hegira Moya,,,,,,,f,,,,
id-831708,Be Svendsen,Svendsen Be,,,,,,,f,Person,,,
id-1037889,Autopsy Protocol,Autopsy Protocol,,,,,,,f,,,,
id-1847151,Marigolds,Marigolds,,,,,,,f,Group,,,UK indie band
id-1037880,Acta,Acta,,,,,,,f,,,,
id-71239,Sun Yama,Sun Yama,,,,,,,f,,,,
id-1049149,H.E.D.,H.E.D.,,,,,,,f,,,,
id-215523,Cipher First Son,Cipher First Son,,,,,,,f,,,,
id-361967,Touane,Touane,,,,,,,f,Person,,,
id-1808498,Josiah and the Bonnevilles,Josiah and the Bonnevilles,,,,,,,f,,,,
id-322625,MAM,MAM,,,,,,,f,Group,,,Dutch experimental pop group
id-474089,Labatzuca,Labatzuca,2002,,,,,,f,Group,,,
id-428084,Dublee,Dublee,,,,,,,f,Person,,,
id-514489,Dead in Existence,Dead in Existence,2004,,,,,,f,Group,,,
id-811505,Semtek,Semtek,,,,,,,f,Person,,,Benjamin Semtek
id-510655,Josh Kaplan,Kaplan Josh,1993,5,17,,,,f,Person,,,
id-133193,Kay D. Smith,Smith Kay D.,,,,,,,f,Person,,,
id-329149,Fast Floor,Fast Floor,,,,,,,f,Person,,,
id-959415,Kerry Tuschhoff,Kerry Tuschhoff,,,,,,,f,,,,
id-439262,Tanmaya Honervogt,Honervogt Tanmaya,,,,,,,f,Person,,,
id-542008,Sound of the New Breed,Sound of the New Breed,,,,,,,f,Group,,,
id-160128,Angel Trumpets,Trumpets Angel,,,,,,,f,,,,
id-561756,The Positively Testcard,Testcard,,,,,,,f,,,,
id-460946,Something for Someone,Something for Someone,,,,,,,f,Group,,,
id-791825,The Misspoken,Misspoken The,,,,,,,f,,,,
id-767158,Traxman,Traxman,,,,,,,f,Person,Male,,
id-2317865,Suns Signature,Suns Signature,,,,,,,f,Group,,,Elizabeth Fraser and Damon Reece
id-460941,Hurst Pier Point,Hurst Pier Point,,,,,,,f,Group,,,
id-897553,Dro Carey,Carey Dro,,,,,,,f,Person,Male,,
rec-1821423-dup-0,Buzz Hoxi3,Hoxie Buts,2001,11,6,,,,f,Person,Male,,
id-960458,$auce,Sauce,,,,,,,f,,,,
rec-1635399-dup-1,Pury,Pury,,,,,,,f,Person,Male,,Akshe Puri Sneek Netherkands
