medium,release,position,format,track_count
id-143061,id-143061,1,,4
id-360408,id-360408,1,31,2
id-832426,id-832426,1,,2
id-866204,id-866204,1,31,5
id-3903747,id-3583014,1,29,2
id-1340071,id-1300452,1,1,8
id-312077,id-312077,1,31,2
id-650520,id-650520,1,12,2
id-455093,id-455093,1,31,1
id-874855,id-874855,1,1,9
id-1901989,id-1790403,1,1,11
id-601039,id-601039,1,1,5
id-587970,id-587970,1,12,3
id-730325,id-730325,1,31,2
id-360576,id-360576,1,1,7
id-420834,id-420834,1,1,4
id-2337635,id-2167882,1,12,7
rec-704755-dup-0,id-704755,1,12,8
id-774085,id-774085,1,1,1
id-1002950,id-1002950,1,1,15
id-746828,id-746828,1,12,2
id-77349,id-77349,1,,4
id-529737,id-529737,1,31,2
id-485834,id-485834,1,12,3
id-752696,id-752696,1,31,4
id-485832,id-485832,1,12,3
id-485830,id-485830,1,12,3
id-2697778,id-2489871,1,12,1
id-2242777,id-2085275,1,1,11
id-402861,id-402861,1,31,2
id-1026204,id-1026204,1,,1
id-629139,id-629139,1,31,4
id-455678,id-455678,1,12,5
id-934382,id-934382,1,,4
id-292991,id-292991,1,,5
id-330275,id-330275,1,1,3
id-601782,id-601782,1,,2
id-1827345,id-1725325,1,12,1
rec-1358452-dup-0,id-1316523,1,,12
id-1220537,id-1196184,1,12,2
id-995324,id-995324,1,,6
id-845537,id-845537,1,,2
id-1220531,id-1196178,1,12,2
id-716718,id-716718,1,,10
id-1197518,id-1176127,1,7,10
id-1388336,id-1342686,1,1,11
id-150128,id-150128,1,1,3
id-1598053,id-1527583,1,12,5
id-424832,id-424832,1,1,8
id-373564,id-373564,1,7,2
id-3904162,id-3583404,1,12,1
id-540354,id-540354,1,1,12
id-991954,id-991954,1,29,10
id-809858,id-809858,1,12,1
id-672907,id-672907,1,,4
id-696558,id-696558,1,7,2
id-1001478,id-1001478,1,,2
id-747995,id-747995,1,1,3
id-663813,id-663813,1,31,3
id-1010245,id-1010245,1,1,14
id-663811,id-663811,1,31,2
id-96327,id-96327,1,1,12
id-507915,id-507915,1,1,2
id-615735,id-615735,1,12,2
id-314387,id-314387,1,15,1
id-793501,id-793501,1,8,3
id-518042,id-518042,1,1,15
id-3767393,id-3457534,1,12,1
id-1659219,id-1580033,1,1,4
id-868728,id-868728,1,,3
id-733672,id-733672,1,8,4
id-928086,id-928086,1,,5
id-1050843,id-1049382,1,31,4
id-118281,id-118281,1,1,11
id-1709026,id-1623542,1,12,1
id-323368,id-323368,1,,2
id-171833,id-171833,1,,7
id-1355018,id-1313502,1,29,2
id-171836,id-171836,1,,16
id-171838,id-171838,1,,5
id-879572,id-879572,1,,4
id-921731,id-921731,1,,15
id-1563481,id-1496969,1,1,14
id-1489388,id-1431120,1,1,1
id-1146255,id-1131900,1,1,13
id-3658060,id-3356582,1,12,1
id-1273060,id-1242381,1,30,8
id-93743,id-93743,1,,1
id-721822,id-721822,1,1,4
id-349447,id-349447,1,1,4
id-908551,id-908551,1,,1
id-737303,id-737303,1,1,8
id-583900,id-583900,1,,5
id-1179616,id-1160867,1,1,1
id-373387,id-373387,1,1,12
id-1347703,id-1307136,1,12,3
id-386121,id-386121,1,14,1
id-2750162,id-2536321,1,1,10
id-386122,id-386122,1,14,1
id-386125,id-386125,1,14,1
id-549972,id-549972,1,1,11
id-927988,id-927988,1,,6
id-2555090,id-2359348,1,12,1
rec-523546-dup-0,id-523546,1,12,5
id-1352971,id-1311754,1,7,6
id-2621271,id-2419182,1,12,1
id-637803,id-637803,1,1,1
id-164013,id-164013,1,,3
id-1087862,id-1081684,1,1,4
id-2865509,id-2638910,1,12,1
id-2865505,id-2638906,1,12,1
id-1508499,id-1447196,1,12,1
id-3436014,id-3154822,1,12,1
id-714713,id-714713,1,1,3
id-2865503,id-2638904,1,12,1
id-446490,id-446490,1,33,8
id-2196690,id-2045335,1,31,7
id-2338538,id-2168696,1,12,1
id-371466,id-371466,1,12,1
id-1356097,id-1314461,1,12,2
id-437553,id-437553,1,30,2
id-998498,id-998498,1,,3
id-1363931,id-1321390,1,1,5
id-1356099,id-1314463,1,1,14
id-437559,id-437559,1,,1
id-1061674,id-1058712,1,12,2
rec-440522-dup-0,id-440522,1,7,2
id-1371645,id-1328085,1,1,6
id-377604,id-377604,1,1,2
id-880989,id-880989,1,,1
id-1134173,id-1121269,1,,3
id-718033,id-718033,1,1,3
id-465109,id-465109,1,29,2
id-1128137,id-1115935,1,31,2
id-1375557,id-1331600,1,1,14
id-1245086,id-1218173,1,1,5
rec-71004-dup-0,id-71004,1,,9
id-1262605,id-1233586,1,,14
id-242785,id-242785,1,,3
id-1073152,id-1068831,1,1,13
id-1184640,id-1165177,1,7,6
id-1245089,id-1218178,1,1,13
id-1174902,id-1156861,1,1,4
id-1073154,id-1068833,1,1,14
id-1370794,id-1327337,1,1,10
id-1130367,id-1117897,1,29,2
id-470327,id-470327,1,1,7
id-688966,id-688966,1,1,3
id-1318956,id-1282074,1,12,2
id-1313065,id-1276884,1,1,3
id-70089,id-70089,1,,4
id-506541,id-506541,1,7,2
id-349913,id-349913,1,1,9
id-340971,id-340971,1,1,3
rec-3659228-dup-0,id-3357686,1,12,1
id-1120333,id-1109114,1,1,11
id-1130419,id-1117946,1,29,2
id-763315,id-763315,1,12,2
id-231624,id-231624,1,31,2
id-959082,id-959082,1,,4
id-406576,id-406576,1,1,10
id-1275584,id-1244406,1,1,5
id-1423070,id-1373411,1,12,1
id-1275586,id-1244408,1,31,4
id-1423072,id-1373413,1,12,1
id-1427026,id-1376775,1,12,1
id-1423074,id-1373415,1,12,1
id-1275583,id-1244405,1,1,2
id-224122,id-224122,1,,8
id-317092,id-317092,1,1,4
id-1317523,id-1280801,1,12,1
id-792044,id-792044,1,1,3
id-855582,id-855582,1,,2
id-492292,id-492292,1,1,5
id-1195422,id-1174342,1,33,4
id-1328691,id-1290540,1,12,4
id-3869342,id-3551530,1,12,1
id-134025,id-134025,1,,1
id-749909,id-749909,1,12,3
id-495959,id-495959,1,1,1
id-997672,id-997672,1,,2
id-1092255,id-1085423,1,1,2
id-3900306,id-3579876,1,12,1
id-450945,id-450945,1,1,2
id-1172748,id-1154981,1,1,5
id-1611054,id-1538779,1,12,5
id-579364,id-579364,1,31,2
id-506095,id-506095,1,31,3
id-1489426,id-1431148,1,,8
id-1063727,id-1060568,1,,3
id-2111173,id-1972089,1,12,1
id-390202,id-390202,1,14,1
id-390201,id-390201,1,14,1
id-390200,id-390200,1,14,1
id-506768,id-506768,1,1,2
id-3660164,id-3358575,1,12,1
id-3660194,id-3358601,1,12,1
id-2336758,id-2167079,1,12,11
id-822630,id-822630,1,1,4
id-1048547,id-1047550,1,33,2
id-857459,id-857459,1,,2
id-873626,id-873626,1,,7
id-485054,id-485054,1,1,1
id-2871103,id-2643932,1,1,10
id-187362,id-187362,1,1,5
id-2868452,id-2641616,1,12,1
id-1318370,id-1281572,1,31,2
id-678330,id-678330,1,7,2
id-1362895,id-1320445,1,31,3
id-442868,id-442868,1,31,2
id-1045734,id-1045195,1,12,4
id-1693148,id-1609860,1,12,10
id-867405,id-867405,1,,9
id-71683,id-71683,1,,7
id-815328,id-815328,1,12,3
id-815329,id-815329,1,1,6
id-3768833,id-3458905,1,12,1
id-3768831,id-3458903,1,,1
rec-590483-dup-0,id-590483,1,7,2
id-812864,id-812864,1,7,2
id-701972,id-701972,1,7,2
id-706250,id-706250,1,12,2
id-812862,id-812862,1,7,1
id-369543,id-369543,1,1,6
id-364648,id-364648,1,31,2
id-865311,id-865311,1,,30
id-440421,id-440421,1,1,2
id-1373726,id-1329968,1,1,5
id-1173169,id-1155363,1,7,5
id-696455,id-696455,1,12,5
id-1045870,id-1045310,1,31,3
id-1691437,id-1608390,1,12,1
id-1244841,id-1217963,1,12,3
id-639543,id-639543,1,1,6
id-1075254,id-1070653,1,12,1
id-1127318,id-1115228,1,31,3
id-767816,id-767816,1,,4
rec-735705-dup-0,id-735705,1,31,4
rec-2107146-dup-0,id-1968640,1,12,1
id-819691,id-819691,1,1,10
id-702952,id-702952,1,12,1
id-156406,id-156406,1,,2
id-663112,id-663112,1,12,4
id-3439394,id-3157828,1,1,1
id-521070,id-521070,1,31,6
id-3439391,id-3157826,1,12,1
