artist_credit,name,artist_count,ref_count,created
id-2311554,Martin Frawley,1,73,2018-11-15 205605.580687+00
id-514489,Dead in Existence,1,10,2011-05-16 163211.963929+00
id-1490564,ｓｋｙ 空,1,101,2015-06-10 204224.078443+00
id-510655,Josh Kaplan,1,38,2011-05-16 163211.963929+00
id-43906,BottleRockit,1,24,2011-05-16 163211.963929+00
id-439262,Tanmaya Honervogt,1,4,2011-05-16 163211.963929+00
rec-1118839-dup-0,Juan Prads,1,4,2013-01-28 044610.958689+00
id-781183,Wet Mango,1,18,2011-05-16 163211.963929+00
id-160128,Angel Trumpets,1,4,2011-05-16 163211.963929+00
id-561756,The Positively Testcard,1,38,2011-05-16 163211.963929+00
id-460946,Something for Someone,1,42,2011-05-16 163211.963929+00
id-791825,The Misspoken,1,26,2011-05-16 163211.963929+00
id-767158,Traxman,1,278,2011-05-16 163211.963929+00
id-2123006,TY-2,1,9,2017-12-07 165749.949803+00
id-564050,Hesperus Dimension,1,30,2011-05-16 163211.963929+00
id-367780,Mind Reflection,1,52,2011-05-16 163211.963929+00
rec-2008257-dup-0,Marant:,1,2,2017-05-27 174043.034925+00
id-492642,Salvatore Falbo,1,2,2011-05-16 163211.963929+00
rec-544438-dup-0,Mamtra,1,23,2011-05-16 163211.963929+00
id-574590,Cardiac Move,1,55,2011-05-16 163211.963929+00
id-1049008,Miquel Salla,1,2,2012-09-11 184542.054242+00
id-251389,Paul Sequence Ferguson,1,38,2011-05-16 163211.963929+00
id-388423,DJ Dom,1,24,2011-05-16 163211.963929+00
id-371297,Ahab Rex,1,70,2011-05-16 163211.963929+00
id-273015,Full Strike,1,24,2011-05-16 163211.963929+00
id-428357,Lichtpunkt,1,22,2011-05-16 163211.963929+00
id-866149,Yves Soutière  Linda Sorgini,2,13,2011-10-06 050006.101705+00
id-377571,Bobby Bell,1,38,2011-05-16 163211.963929+00
id-459773,Basswood Dollies,1,70,2011-05-16 163211.963929+00
id-306530,Inyectores,1,76,2011-05-16 163211.963929+00
id-2815391,Bridson X Rikston,2,4,2020-09-30 140524.822032+00
id-947305,Dronf,1,8,2012-02-20 132122.038902+00
id-203337,Vooghel,1,26,2011-05-16 163211.963929+00
id-195457,Ståle Stiil,1,10,2011-05-16 163211.963929+00
