place,gid,name,place_type,address,area,coordinates,ended
id-27326,36190cffd0414343b1585601394771e4,Théâtre du Vaudeville,Venue,,id-4434,48871252333611,t
id-4711,6f2c2e3bc1a74bc6966bfba4051169c4,Bass Performance Hall,Venue,525 Commerce St Fort Worth TX 76102 United States,id-22163,32754929733001,f
id-49452,b521b5a7fd6b4b34aef2708668864282,Furuheim,,,id-12336,,f
id-28865,c49ef0c143bd4003b82834bf8d8f0d24,The Cut,Venue,8 New Cut Halesworth Suffolk IP19 8B England UK,id-99789,523460131503978,f
id-24457,399fe8dc7da24f53b6f296b56ea7d8bc,Studio D Small Queens Hall,Studio,,,,f
id-34980,22b9b56900da4e9695a045bb2d5bad44,Studiozwei,Studio,,id-81,,f
id-47851,696d6b7dc02c47279aa144458bb3fd79,Thoshiba EMI Mixdown Room,Studio,,,,f
id-19458,79fe133a882f44f199ddad4c0b9a3173,Mountain Winery,Other,14831 Pierce Rd Saratoga CA 95070,id-23910,37260372122064936,f
id-21270,9fe76a64e23d49e1a23c969d9c2eb36b,Uneven Studio,Studio,,id-5197,,f
id-39071,befb05c4d6904d4e980750230314fc66,Ninth World Studios,Studio,,id-12988,,f
id-53422,b91311ccdf254704933c7b8171fd229b,CStudio,Studio,,,,f
id-39819,d474ebed991b4eaba049ef4dc1a4aadd,Svetlanov Concert Hall,Venue,,id-2429,5573325137646075,f
id-5687,d5239f8b5a3d4f74ab2fcd9c2dc5ade8,Spock Studio,Studio,,,,f
id-24963,df06f97d31394f8ba09d789528244c5d,Page Auditorium,Venue,402 Chapel Dr Durham NC 27708 USA,id-5298,,f
id-36807,632f35abe429490bbc08dce9281e78d5,Klosterkirche Maihingen,Religious building,,id-76376,489284104915,f
id-43787,69e38d0216b44bee81fb172dd059496a,笠懸野文化ホール,Venue,,id-10703,36390613929,f
id-36529,4e85f5954a464832aa9e8012c9bddcbb,Kidderminster Town Hall,,7 Vicar St Kidderminster DY10 1DE,id-29533,523867122248666,f
id-13077,562d8bbb6327482da90ab9e9c0f3ec43,Studio dAuteuil,Studio,,id-4434,,f
id-53274,8bc5a45d416f4317a74222e407bae379,Ardingly Studio,Studio,,id-3848,,f
id-21171,7ae609f089c54c05aa99b59390d2a20f,Fat as Funk,Studio,,id-221,,f
id-33327,fd4d42a377d54833b6cc55bdffff7524,Blue Note Studio,Studio,,id-653,,f
id-49896,2b3345954c33404a8f5b879592c55986,Kleine Beethovenhalle,Venue,,id-7023,50672671583,f
id-55328,165fe281808640fe912a16fc0ad5406d,Holy Trinity Church,Religious building,,id-99691,50793111199,f
id-38233,811e415cca244e5eb9537012e17e26f1,Greenhouse Studio,Studio,825 De Bruxelles Street Apartment 123 Montreal Quebec Canada H1L 5Z4,id-118894,4558787573509041,f
id-57104,0a98a7f0436349f39d7ebbe45f9d0cf7,Festival Messiaen au Pays de la Meije,Venue,La Grave,,,f
id-15145,645e4de7c5f24338b05a2e8335aaf6be,Hate Studio,Studio,via t tasso n 71a 36027 Rosa VI Italy,id-18575,,f
id-18447,3c94deca6a3d4627a1c41ab5c60d59c4,Apple Store Rosenstraße,Other,Rosenstraße 1 80331 München,id-7710,48136831157456,f
id-12008,a1b2cf4021614728a3115dd0ae835fde,Oregon Zoo Amphitheater,Venue,4001 SW Canyon Rd Portland OR 97221,id-5147,4550994112271613,f
id-8418,f2ecf8b217524670949bbcfb511891e2,Pantheon Leipzig Kantine,Venue,Puschstraße 10 Alte Messe Halle 16 04103 Leipzig,id-7289,5131542112400078,f
id-6265,720ba0ae3d1946d588049a7b0a2d4a45,LoHo Studios,Studio,48 Clinton St New York NY 10002 United States,id-67445,407196727398447,f
id-10196,6057d824e79b4036b6356eeb2ffbf6e9,Schauburg,Venue,,id-23698,,f
id-6343,83d9e042ceeb4ddab75aadb42eb564c9,IGF Studios,Studio,,id-222,,f
id-49649,8fa64e83184f40e89ef2262706b712e0,Kaleidoscope Tone Studio,Studio,,id-5136,,f
id-34819,66cdd340b70c4104b7fded226d68a0c0,Norwegian Jade Bliss,Venue,,id-10422,,f
id-6833,4fea0d4fff5340099d396093a438a6ca,Hochschule für Musik und Theater Hamburg,,Harvestehuder Weg 12 20148 Hamburg,id-331,535705569998889,f
id-2077,f84f6ef501ad4917846d3f35a18e2711,SAP Arena,Indoor arena,An der Arena 1 68163 Mannheim Germany,id-7716,4946361185175,f
id-24216,0e6ac0a85bc3406087ea484778634531,Rock  Roll Hotel,Venue,1353 H St NE Washington DC 20002,id-269,3890005176986575,f
id-18697,8ea637092d8f4ed981b23d8f03816d30,Room 28,,,id-12769,,f
id-45650,7edaad63071a4349a8de158345cfddf5,Burggraben Neckarelz,Venue,Johannitergasse 2 74821 Mosbach Germany,id-69540,49341699101083,f
id-21879,05a9e7c672f24994b7bd607db8c8dbb8,Rad Studio,Studio,,,,f
id-50765,1f1f6e0e764b4287ab94398afbaa9673,First National Bank Arena,Indoor arena,217 Olympic Dr Jonesboro AR 72401,id-5331,3584542290670319,f
id-37036,f08d3c44d0d6491f84db5ad460b53c07,CDPM Studio,Studio,,id-20975,,f
id-14143,3113a363f37241ce97277acc14b48def,Petőfi Csarnok,Venue,Budapest Zichy Mihály út 14 1146,id-721,4751413119088437,t
id-53238,45450a8b05344deb983d572996e28f88,피터펜컴플렉스 작업실,Studio,,id-113,,f
id-46509,c88932fe023745839a1469a6500e8860,The Coffee Depot,Other,501 Main St,id-83799,,f
id-26270,513ad2a9686c40779cf6d4b151a289a3,Union College,Educational institution,807 Union St Schenectady NY 12308 USA,id-5682,428172227393,f
id-19814,0c47ed2e3cb74570918ff190c0c1a669,The Manor Mobile,Studio,,id-221,,f
id-34183,9cf2f4b7d0e7482cbb273c9418420134,VS Media,Venue,Units A  C 7F First Group Centre 14 Wang Tai Road Kowloon Bay Hong Kong,id-96,,f
id-16379,6ac087257456490eb7b051861a78582c,MittelhessenArena,Indoor arena,WolfgangKühleStraße 1 35576 Wetzlar Germany,id-7463,5056585083,t
id-19697,093bb5bbd74e4bc4a9bf8aa2df7d210d,CWR Studio,Studio,,,,f
id-46502,d1c258d6f3e14affb349d609d7d3af0c,Game Studio,Studio,,id-326,,f
id-49272,cb00f3a77f86461b9d5bccb311c6220d,Salinas Studio,Studio,,id-99547,,f
id-11477,eebd9699f98a4c53abfe90e0a0858c62,Cole Rehearsal Studios,Studio,,id-39882,,f
id-24550,3d129bdadb0d428384d0b183aeff00d1,Studio Charlot,Studio,,id-4434,,f
id-37508,e07602bacfc24eeca1216fb127e6aab2,The Parish Church of Sarum St Martin,Religious building,St Martins Church Street Salisbury Wiltshire SP1 2HY,id-19680,,f
id-24376,c3d2e850746a4a9f831c519d2275d16e,Deathproof Music,Studio,,,,f
id-52922,7db70e038e9749f48e05611e54cef88e,RSA,,,,,f
id-28882,072d8088b3894e1e95fac78b98be23fc,Ulyd studio,Studio,,,,f
id-40333,c42bd3c9193a461bb743a73123cb0385,Presbyterian Church of Mount Kisco,Religious building,,id-90926,412072737458,f
id-3789,cab9dc1b76664207be18f1e27e4d4899,Accademia nazionale di Santa Cecilia,Educational institution,Viale Pietro de Coubertin 30 00196 Roma,id-5060,41929124745,f
id-3079,4966c97767a7456b96456f386c8f90b2,Lyceum Theatre,Venue,21 Wellington Street London WC2E 7RQ,id-1178,51511556011975,f
id-28565,204519f777714f24af433944e9858cc7,Pollack Hall,Venue,555 Sherbrooke Street West Montreal Quebec Canada H3A 1E3,id-118880,4550574973573358,f
id-12321,dee91b4c6b174b6085e0faa16f53f5fd,Rathsgymnasium Wolfsburg,,,id-8908,,f
id-32316,b2fb1a489c864d519865112125dc244f,Sandkvie Studio,Studio,,id-35063,,f
id-51213,af6f30b34ae8493bb4f49f729ecc784f,Audacious Studio,Studio,,id-7703,,f
id-23950,0a989a40f573422ca1d133ecf1c76376,Spider Formation,Studio,,id-5099,,f
id-38453,14363857a6f3402397777ce904991e6f,Eskal,Studio,Bourch Lambaol 29242 Ouessant,id-4386,484557345097506,f
id-51552,d62219db688a40cb9daa474968a2ef63,Conservatoire municipal de Casablanca,Educational institution,45 boulevard de Paris 20070 Casablanca,id-88699,335933227619636,f
id-13817,cb3789a3bb7d4aa98ebc7b9719426fc3,Twin River Event Center,Venue,100 Twin RIver Rd Lincoln RI 02865,id-83785,4188836171448722,f
id-22598,85a7a430a3074bde8f15bec75b793513,NGR,,,,,f
id-8048,96074590aeab45b3a82b7d3df7ced631,The Boarding House,Venue,960 Bush St San Francisco CA 94109,id-7022,37789968122414781,t
id-52549,ffa91e81414340deab6e5ebff5b6d0a1,Big Mamas Recording Studio,Studio,,id-7707,,f
id-45569,4bf99cbd7fcb4e6ea57b6c453ad1a5dd,Garbos,Venue,429 Queen St W Toronto ON M5V 2A5,id-5076,4364871279395483,t
id-21124,fbd856546aef445eb10fb3d718de64f5,Guldbergaunet stadion,Stadium,,id-12351,6402145211510496,f
id-31645,0a9e5c696c5c42a8b84f64dbb3b198e1,Multi Media Masters,Studio,,id-203,,f
id-26439,fc9f5e40e33d462a89e4332b5ab25d2a,Dunoon,,,id-3795,55950949262,f
id-27828,09531831aa254cc9b1716c9dc9e68432,Teatro Comunale di Atri,Venue,,id-19534,425802139782,f
id-40418,390729b6a9e644e688d254064c5f2b1f,Ilsfeld,,,id-327,4905925,f
id-20743,d915d9358d244cc9809d2f737833741a,Stayahead House,,,,,f
id-27890,aa290479c25d42b7a7fd5927858a63f8,Lalabela Studios,Studio,,id-7020,,f
id-2830,6ba22d5e6d2943afa1b7787445c0c67b,Pirita klooster,Other,Merivälja tee 18 11911,id-5111,5946746224835965,f
id-16930,a4496eb7598e469b842eed6b8cdbdeeb,ExEx Audio,Studio,,id-9655,,f
id-36256,ed206a2de9804f22a6798dd5cfc10d45,Polideportivo de la Junta de Castilla y León,Other,,id-12799,,f
id-1949,7962a47d6c8f4c55bed4295f7529ba7f,West Heath Studio,Studio,,id-63976,,f
id-2554,9038cbc3d68c46bd884f7ca8d87fe040,Martin Studios,Studio,,id-7713,,f
id-19729,8b077dd15a8248af9590d3be8f13c290,Studio VIème Sens,,,id-23037,,f
id-34810,b61029c938e84d3981bcd2c2dcd5c873,BBC Radio 2 Studios,Studio,,id-1178,,f
id-15650,9f9510ec5d2e492cb8547f3efbb19915,Regis University Fieldhouse,Indoor arena,,id-5197,,f
id-23729,feb7c6a9c377463f8e8854ae8220a66c,Bramham Park,Other,Bramham Park Wetherby West Yorkshire LS23 6ND,id-116862,538702781380278,f
id-57107,2372dd644f9946309c37a6e3eb6c2d7e,Evansson Audio Media,,Unit 6b The Fortress Avonside Melksham Wilts SN128BT,,51376515214165,f
id-30117,47dd7ef453884e1b863d6ba1b90df0f8,Durham Cathedral,Religious building,The College Durham DH1 3EH,id-14665,547736111576111,f
id-47639,fcbdba26087d4c86816584d29d15dba8,Velur Studios,Studio,,id-5110,,f
id-45247,4f82da2d30e845829b1a72a08e0dbdf8,Kino Šiška,Venue,Trg prekomorskih brigad 3,id-5057,460688691448895,f
id-12722,d03d6397c910463886269fbcd12af020,Tent at 318 Sampsonia Way,,,id-7961,,f
id-30083,2ba606ee545a4ec19a6d2f06345b3dec,Audio Atlantic,Studio,,id-68696,,f
id-10346,34e7351d715d4b20a5d63c0bd717eb1d,Santuario della Beata Vergine di Ariadello,Religious building,,id-18363,453160879865165,f
id-28091,d6310c7b759241cf9ecba3c3d897db6a,Rapture Audio,Studio,,id-3912,,f
id-30785,455cd95b8ef74819a642ee99e921d77d,Soundlodge Studio,Studio,,id-81,,f
id-5705,cea699c8f7d145508b190cd53517b0a1,Hirondelle Studios,Studio,,id-29506,518742990151321,f
