artist_credit,position,artist,name
id-470716,0,id-470716,Ayn Rand
id-122373,0,id-122373,Jon Lord
id-349617,0,id-349617,Krêposuk
id-109937,0,id-109937,7th Moon
id-436983,0,id-436983,Ebu Gogo
id-1956044,0,id-993398,青野武
id-84818,0,id-84818,Oboroh
id-22684,0,id-22684,Sizzla
id-1187344,0,id-1022286,Inferno
id-225142,0,id-225142,Jing Chi
id-10536,0,id-10536,Os Mutantes
id-230435,0,id-230435,Science Fiction Idols
id-140140,0,id-140140,Forseti
id-595336,0,id-595336,Barry Luft
id-1810,0,id-1810,The Platters
id-1147025,0,id-993673,Burns Blue
id-123306,0,id-123306,The Baptist Generals
id-382961,0,id-382961,Portal
id-67631,0,id-67631,Passenger
id-824,0,id-824,Lynyrd Skynyrd
id-102761,0,id-102761,Unique II
id-14157,0,id-14157,Dream
id-381514,0,id-381514,Youthmovies
id-9971,0,id-9971,Status Quo
id-2630132,0,id-1485881,The Hollywood Edge
id-503035,0,id-503035,Zvonko Bogdan
id-307888,0,id-307888,Winterun
id-682511,0,id-682511,Robert Etoll
id-429254,0,id-429254,Illegal Illusion
id-282735,0,id-282735,English as a Foreign Language
id-186026,0,id-186026,Casanova
id-1052522,0,id-838289,SpaceGhostPurrp
id-849227,0,id-821522,Sallie Ford  The Sound Outside
id-752066,0,id-752066,Zellberger Spitzbuam
id-883818,0,id-839435,Marylin Michaels
id-242693,0,id-242693,Sway
id-815863,2,id-129810,Horace Parlan
id-815863,3,id-5776,Red Mitchell
id-815863,1,id-594891,Nisse Sandström
id-815863,0,id-60544,Monica Zetterlund
id-9606,0,id-9606,Beastie Boys
id-667101,0,id-667101,Björgvin Halldórsson
id-11551,0,id-11551,Mr Big
id-9579,0,id-9579,Los Lobos
id-134453,0,id-134453,Hanns Eisler
id-197865,0,id-197865,Day of Fire
id-1017379,1,id-338462,Cesarius Alvim
id-1017379,0,id-5349,Eddie Gomez
id-660076,0,id-682801,Daniel C Holter
id-33140,0,id-33140,Stan Freberg
id-7966,0,id-7966,Susumu Yokota
id-307350,0,id-307350,Black Fras
id-956728,1,id-749448,Maylee Todd
id-956728,0,id-64624,Central Park
id-9916,0,id-9916,Jam  Spoon
