artist_credit,name,artist_count,ref_count,created,gid
id-147855,Patrick Fiori,1,641,20110516 16321196392900,523c2622477338369ff3cd015fa16a61
id-240374,Андрей Игоревич Романов,1,217,20110516 16321196392900,c637741f1e4432809fcc057326615b00
id-349073,Graveyard Train,1,127,20110516 16321196392900,cc96fbc497dd334a99ee5edcace50190
id-21359,The Dramatics,1,1035,20110516 16321196392900,561fa43de58a3b1c93cee0c020df1919
id-2770416,Zaïko LangaLanga,1,33,20200802 18493436880900,2553b62cfa99327eaaafc0fe38eca4cf
id-185249,The McKrells,1,80,20110516 16321196392900,ad7875709b12333bb401153f59b926bf
id-383315,Robert J Foster,1,2904,20110516 16321196392900,f9d8bcf079443d62a2b99812435f6195
id-701320,Ray Znett,1,302,20110516 16321196392900,941dd56f42ff338e9d5a4ffc5c59cb83
id-1263052,Northern Lords,1,10,20140117 03003435384500,346932c2945b38d79f4638542d8948dc
id-10293,Gustav Mahler,1,20177,20110516 16321196392900,8be3611a5fd93b698cfe34243b02379b
id-104436,Dollar,1,1291,20110516 16321196392900,69353447d327307a87539f35250919da
id-961045,Bill McBillson,1,72,20120326 1612150816800,5b2f3e414a4b3da79641d863353048e7
id-31006,The Divine Comedy,1,3413,20110516 16321196392900,d2efbfeb20d33510a63e759526704ab6
id-22492,BB King,1,17120,20110516 16321196392900,2be5e79e1b26331b9b5c595ef61dfcf3
id-2012556,Gertjan Wels,1,32,20170604 05115710154100,9bf10a7971623039b7472d6eeeda5abf
id-11285,Wolfgang Amadeus Mozart,1,153593,20110516 16321196392900,521903a6eb1738e4b248a4fa02435637
id-256891,Mary Duff,1,380,20110516 16321196392900,6d01fe55e3653617814ee1ce70aad741
id-789722,Frost Bound,1,6,20110516 16321196392900,3566a5e422023485a38838b86d566f43
id-1043378,Familie Hesselbach,1,116,20120831 20094814111800,c950b53f853333afa06c6eb10b46b212
id-412898,AudioSource,1,60,20110516 16321196392900,b57e7f0b575133579f49411f77ea0fef
id-152048,The Gaturs,1,89,20110516 16321196392900,ea1a0218f6983c18a05f21787ca89cfa
id-512934,Dr Toast,1,144,20110516 16321196392900,31b8e9bfc41736f7be40934854f89af4
id-130042,Ernst Bobbie en de rest,1,392,20110516 16321196392900,4f79a164e9c8388bb7c7408d9446170e
id-185459,Signal Hill,1,126,20110516 16321196392900,4cad175fbe793ddda619ee159694b4ab
id-291964,Kees,1,2,20110516 16321196392900,9dd192df4a6d3586bcd9ac5235262707
