artist,gid,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
id-5603,3ac9f018b28a40c8826d07dd44d3404f,Bruce Rowland,Rowland Bruce,1942,5,9,,,,f,Person,Male,id-13,Australian composer
id-786776,e4c56f99e2224055996ce9b49767975d,Vexillum,Vexillum,2004,9,,,,,f,Group,,id-105,Italian power metal band
id-306639,8d5ecdea2ace4cfe8662c913ef572f03,The Shambolics,Shambolics The,1999,,,,,,f,Group,,,
id-296802,720a44442d4942bab509683844583601,Kussondulola,Kussondulola,,,,,,,f,,,,
id-720803,cd44ef91574c4e098fce72eded78bd1e,Ange Hardy,Hardy Ange,1983,12,,,,,f,Person,Female,,
id-106103,14b334ec63ee48b2ac61457389ff0029,Ron Geesin,Geesin Ron,1943,12,17,,,,f,Person,Male,id-221,
id-207574,513060d8547c4986a3ed221dc06657d6,Oldine,Oldine,,,,,,,f,,,,
id-197771,f5647c499b4f492883255309b67d552c,Cripple Mr Onion,Cripple Mr Onion,1996,,,,,,f,Group,,id-153,
id-225708,d9851b7b28544f6198a2771fb6269937,Tony Kinsey,Kinsey Tony,1927,10,11,,,,f,Person,Male,id-221,
id-461122,2ec89bcc5bf94d2aac5e44b7496d115a,La Dispute,La Dispute,2004,,,,,,f,Group,,id-222,
id-701679,8c223322913540c0aaf10cf3b9cbc957,2PU,2PU,2001,,,,,,f,Group,,id-170,Polish new metal band
id-292469,751d785c02d24380a02e2770fa376851,清木場俊介,Kiyokiba Shunsuke,1980,1,11,,,,f,Person,Male,id-107,
id-1035240,939b83b533d0488b9c3ea9772b480ddb,Tori Kamal,Kamal Tori,,,,,,,f,Person,Male,,
id-107882,75570b5fdf4c410196bcde55c4f0b3fe,Gone Fishin,Gone Fishin,,,,,,,f,,,,
id-270118,2a827687f11446fe9e5d74acb7d33995,Metal Fingers,Metal Fingers,1971,1,9,2020,10,31,t,Person,Male,id-222,
id-240214,48f07f59822e41689575d3dba1be5128,BD Foxmoor,BD Foxmoor,1967,8,21,,,,f,Person,Male,id-84,
id-392074,d796642ba4734c49946ad458f965b691,LAST ALLIANCE,LAST ALLIANCE,2002,,,,,,f,Group,,id-107,
